Bb	CP	Solvent	Electrode	Additives	Prior_score
2-furoic_acid	Propylamine	DMF	Platinum	Formic_acid	1.28e-05
2-furoic_acid	Propylamine	DMF	Platinum	CsCO3	1.01e-05
2-furoic_acid	Propylamine	DMF	Platinum	Triethylamine	1.66e-05
2-furoic_acid	Propylamine	DMF	Platinum	NiCl2	1.44e-05
2-furoic_acid	Propylamine	DMF	Platinum	CuCl2	1.46e-05
2-furoic_acid	Propylamine	DMF	Platinum	Pd(OAc)2	8.9e-06
2-furoic_acid	Propylamine	DMF	Platinum	Dy(OTf)3	1.04e-05
2-furoic_acid	Propylamine	DMF	Platinum	Nothing	1.96e-05
2-furoic_acid	DABCO	ACN	Carbon	Ptsoh	5e-06
2-furoic_acid	DABCO	ACN	Carbon	Formic_acid	4.3e-06
2-furoic_acid	DABCO	ACN	Carbon	CsCO3	1.87e-05
2-furoic_acid	DABCO	ACN	Carbon	Triethylamine	2.8e-06
2-furoic_acid	DABCO	ACN	Carbon	NiCl2	1.46e-05
2-furoic_acid	DABCO	ACN	Carbon	CuCl2	2.1e-06
2-furoic_acid	DABCO	ACN	Carbon	Pd(OAc)2	2e-06
2-furoic_acid	DABCO	ACN	Carbon	Dy(OTf)3	7.9e-06
2-furoic_acid	DABCO	ACN	Carbon	Nothing	7.4e-06
2-furoic_acid	DABCO	ACN	Platinum	Ptsoh	3.8e-06
2-furoic_acid	DABCO	ACN	Platinum	Formic_acid	7e-07
2-furoic_acid	DABCO	ACN	Platinum	CsCO3	1.6e-05
2-furoic_acid	DABCO	ACN	Platinum	Triethylamine	4.2e-06
2-furoic_acid	DABCO	ACN	Platinum	NiCl2	7.7e-06
2-furoic_acid	DABCO	ACN	Platinum	CuCl2	4.5e-06
2-furoic_acid	DABCO	ACN	Platinum	Pd(OAc)2	6.4e-06
2-furoic_acid	DABCO	ACN	Platinum	Dy(OTf)3	1.89e-05
2-furoic_acid	DABCO	ACN	Platinum	Nothing	5.9e-06
2-furoic_acid	DABCO	DMF	Carbon	Ptsoh	3e-07
2-furoic_acid	DABCO	DMF	Carbon	Formic_acid	7e-07
2-furoic_acid	DABCO	DMF	Carbon	CsCO3	1.18e-05
2-furoic_acid	DABCO	DMF	Carbon	Triethylamine	2.1e-06
2-furoic_acid	DABCO	DMF	Carbon	NiCl2	1.67e-05
2-furoic_acid	DABCO	DMF	Carbon	CuCl2	4.1e-06
2-furoic_acid	DABCO	DMF	Carbon	Pd(OAc)2	6e-06
2-furoic_acid	DABCO	DMF	Carbon	Dy(OTf)3	2e-05
2-furoic_acid	DABCO	DMF	Carbon	Nothing	1.6e-06
2-furoic_acid	DABCO	DMF	Platinum	Ptsoh	4e-06
2-furoic_acid	DABCO	DMF	Platinum	Formic_acid	6.2e-06
2-furoic_acid	DABCO	DMF	Platinum	CsCO3	1.07e-05
2-furoic_acid	DABCO	DMF	Platinum	Triethylamine	6.8e-06
2-furoic_acid	DABCO	DMF	Platinum	NiCl2	1.93e-05
2-furoic_acid	DABCO	DMF	Platinum	CuCl2	1.6e-06
2-furoic_acid	DABCO	DMF	Platinum	Pd(OAc)2	6.4e-06
2-furoic_acid	DABCO	DMF	Platinum	Dy(OTf)3	9.8e-06
2-furoic_acid	DABCO	DMF	Platinum	Nothing	5.3e-06
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Ptsoh	2.88e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Formic_acid	2.6e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	CsCO3	2.53e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Triethylamine	2.76e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	NiCl2	2.8e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	CuCl2	2.57e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Pd(OAc)2	2.95e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Dy(OTf)3	2.93e-05
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Nothing	2.56e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Ptsoh	2.98e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Formic_acid	2.51e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	CsCO3	2.1e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Triethylamine	2.22e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	NiCl2	2.79e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	CuCl2	2.7e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Pd(OAc)2	2.6e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Dy(OTf)3	2.36e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Nothing	2.91e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Ptsoh	2.94e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Formic_acid	2.64e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	CsCO3	2.89e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Triethylamine	2.82e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	NiCl2	2.24e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	CuCl2	2.31e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Pd(OAc)2	2.08e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Dy(OTf)3	2.15e-05
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Nothing	2.66e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Ptsoh	2.46e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Formic_acid	2.8e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	CsCO3	2.36e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Triethylamine	2.93e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	NiCl2	2.99e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	CuCl2	2.66e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Pd(OAc)2	2.4e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Dy(OTf)3	2.59e-05
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Nothing	2.24e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Ptsoh	2.5e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Formic_acid	2.76e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	CsCO3	2.23e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Triethylamine	2.27e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	NiCl2	2.11e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	CuCl2	2.6e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Pd(OAc)2	2.46e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Dy(OTf)3	2.67e-05
2-furoic_acid	Rawal_diene	ACN	Carbon	Nothing	2.61e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Ptsoh	2.46e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Formic_acid	2.54e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	CsCO3	2.33e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Triethylamine	2.93e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	NiCl2	2.51e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	CuCl2	2.56e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Pd(OAc)2	2.48e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Dy(OTf)3	2.61e-05
2-furoic_acid	Rawal_diene	ACN	Platinum	Nothing	2.46e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Ptsoh	2.92e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Formic_acid	2.82e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	CsCO3	2.37e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Triethylamine	2.65e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	NiCl2	2.94e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	CuCl2	2.27e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Pd(OAc)2	2.53e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Dy(OTf)3	2.92e-05
2-furoic_acid	Rawal_diene	DMF	Carbon	Nothing	2.5e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Ptsoh	2.72e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Formic_acid	2.82e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	CsCO3	2.51e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Triethylamine	2.8e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	NiCl2	2.28e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	CuCl2	2.19e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Pd(OAc)2	2.69e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Dy(OTf)3	2.14e-05
2-furoic_acid	Rawal_diene	DMF	Platinum	Nothing	2.78e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Ptsoh	2.9e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Formic_acid	2.1e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	CsCO3	8.4e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Triethylamine	1.7e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	NiCl2	1.98e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	CuCl2	6.9e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Pd(OAc)2	4.7e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Dy(OTf)3	1.55e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Nothing	4.8e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Ptsoh	4.4e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Formic_acid	5.9e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	CsCO3	1.11e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Triethylamine	3.7e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	NiCl2	1.64e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	CuCl2	2.9e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Pd(OAc)2	5.5e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Dy(OTf)3	1.49e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Nothing	7e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Ptsoh	5e-07
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Formic_acid	2e-07
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	CsCO3	1.98e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Triethylamine	2.1e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	NiCl2	1.7e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	CuCl2	1e-07
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Pd(OAc)2	1.6e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Dy(OTf)3	1.41e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Nothing	9e-07
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Ptsoh	7.1e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Formic_acid	9e-07
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	CsCO3	1.96e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Triethylamine	3.9e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	NiCl2	1.5e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	CuCl2	1.7e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Pd(OAc)2	6.1e-06
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Dy(OTf)3	1.99e-05
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Nothing	2.2e-06
2-furoic_acid	Propiolic_acid	ACN	Carbon	Ptsoh	1.89e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	Formic_acid	7.7e-06
2-furoic_acid	Propiolic_acid	ACN	Carbon	CsCO3	1.8e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	Triethylamine	1.57e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	NiCl2	1.89e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	CuCl2	1.56e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	Pd(OAc)2	1.46e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	Dy(OTf)3	1.98e-05
2-furoic_acid	Propiolic_acid	ACN	Carbon	Nothing	2e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	Ptsoh	1.85e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	Formic_acid	1.26e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	CsCO3	8e-06
2-furoic_acid	Propiolic_acid	ACN	Platinum	Triethylamine	1.52e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	NiCl2	1.99e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	CuCl2	1.37e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	Pd(OAc)2	1.68e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	Dy(OTf)3	1.93e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	Nothing	1.18e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	Ptsoh	1.24e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	Formic_acid	9e-06
2-furoic_acid	Propiolic_acid	DMF	Carbon	CsCO3	1.7e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	Triethylamine	1.59e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	NiCl2	2.01e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	CuCl2	8.1e-06
2-furoic_acid	Propiolic_acid	DMF	Carbon	Pd(OAc)2	1.51e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	Dy(OTf)3	1.65e-05
2-furoic_acid	Propiolic_acid	DMF	Carbon	Nothing	1.77e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Ptsoh	1.63e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Formic_acid	1.05e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	CsCO3	1.57e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Triethylamine	1.22e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	NiCl2	8.2e-06
2-furoic_acid	Propiolic_acid	DMF	Platinum	CuCl2	1.48e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Pd(OAc)2	1.08e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Dy(OTf)3	1.57e-05
2-furoic_acid	Propiolic_acid	DMF	Platinum	Nothing	8.5e-06
2-furoic_acid	Carveol	ACN	Carbon	Ptsoh	2.2e-05
2-furoic_acid	Carveol	ACN	Carbon	Formic_acid	2.95e-05
2-furoic_acid	Carveol	ACN	Carbon	CsCO3	2.93e-05
2-furoic_acid	Carveol	ACN	Carbon	Triethylamine	2.62e-05
2-furoic_acid	Carveol	ACN	Carbon	NiCl2	2.31e-05
2-furoic_acid	Carveol	ACN	Carbon	CuCl2	2.26e-05
2-furoic_acid	Carveol	ACN	Carbon	Pd(OAc)2	2.1e-05
2-furoic_acid	Carveol	ACN	Carbon	Dy(OTf)3	2.52e-05
2-furoic_acid	Carveol	ACN	Carbon	Nothing	2.47e-05
2-furoic_acid	Carveol	ACN	Platinum	Ptsoh	2.95e-05
2-furoic_acid	Carveol	ACN	Platinum	Formic_acid	2.05e-05
2-furoic_acid	Carveol	ACN	Platinum	CsCO3	2.07e-05
2-furoic_acid	Carveol	ACN	Platinum	Triethylamine	2.97e-05
2-furoic_acid	Carveol	ACN	Platinum	NiCl2	2.25e-05
2-furoic_acid	Carveol	ACN	Platinum	CuCl2	2.66e-05
2-furoic_acid	Carveol	ACN	Platinum	Pd(OAc)2	2.07e-05
2-furoic_acid	Carveol	ACN	Platinum	Dy(OTf)3	2.82e-05
2-furoic_acid	Carveol	ACN	Platinum	Nothing	2.97e-05
2-furoic_acid	Carveol	DMF	Carbon	Ptsoh	2.26e-05
2-furoic_acid	Carveol	DMF	Carbon	Formic_acid	2.1e-05
2-furoic_acid	Carveol	DMF	Carbon	CsCO3	2.98e-05
2-furoic_acid	Carveol	DMF	Carbon	Triethylamine	2.47e-05
2-furoic_acid	Carveol	DMF	Carbon	NiCl2	2.11e-05
2-furoic_acid	Carveol	DMF	Carbon	CuCl2	2.62e-05
2-furoic_acid	Carveol	DMF	Carbon	Pd(OAc)2	2.15e-05
2-furoic_acid	Carveol	DMF	Carbon	Dy(OTf)3	2.19e-05
2-furoic_acid	Carveol	DMF	Carbon	Nothing	2.22e-05
2-furoic_acid	Carveol	DMF	Platinum	Ptsoh	2.49e-05
2-furoic_acid	Carveol	DMF	Platinum	Formic_acid	2.88e-05
2-furoic_acid	Carveol	DMF	Platinum	CsCO3	2.98e-05
2-furoic_acid	Carveol	DMF	Platinum	Triethylamine	2.93e-05
2-furoic_acid	Carveol	DMF	Platinum	NiCl2	2.37e-05
2-furoic_acid	Carveol	DMF	Platinum	CuCl2	2.89e-05
2-furoic_acid	Carveol	DMF	Platinum	Pd(OAc)2	2.19e-05
2-furoic_acid	Carveol	DMF	Platinum	Dy(OTf)3	2.56e-05
2-furoic_acid	Carveol	DMF	Platinum	Nothing	2.73e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Ptsoh	1.63e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Formic_acid	1.8e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	CsCO3	1.42e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Triethylamine	8.1e-06
2-furoic_acid	Dimethylamine	ACN	Carbon	NiCl2	1.4e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	CuCl2	1.84e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Pd(OAc)2	1.15e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Dy(OTf)3	1.94e-05
2-furoic_acid	Dimethylamine	ACN	Carbon	Nothing	1.98e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Ptsoh	1.88e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Formic_acid	1.89e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	CsCO3	1.98e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Triethylamine	1.67e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	NiCl2	1e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	CuCl2	1.01e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Pd(OAc)2	1.98e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Dy(OTf)3	1.76e-05
2-furoic_acid	Dimethylamine	ACN	Platinum	Nothing	1.65e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	Ptsoh	1.5e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	Formic_acid	1.16e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	CsCO3	1.78e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	Triethylamine	1.59e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	NiCl2	8.7e-06
2-furoic_acid	Dimethylamine	DMF	Carbon	CuCl2	8.8e-06
2-furoic_acid	Dimethylamine	DMF	Carbon	Pd(OAc)2	1e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	Dy(OTf)3	1.38e-05
2-furoic_acid	Dimethylamine	DMF	Carbon	Nothing	1.83e-05
2-furoic_acid	Dimethylamine	DMF	Platinum	Ptsoh	8.6e-06
2-furoic_acid	Dimethylamine	DMF	Platinum	Formic_acid	1.16e-05
2-furoic_acid	Dimethylamine	DMF	Platinum	CsCO3	9.4e-06
2-furoic_acid	Dimethylamine	DMF	Platinum	Triethylamine	7.7e-06
2-furoic_acid	Dimethylamine	DMF	Platinum	NiCl2	1.55e-05
2-furoic_acid	Dimethylamine	DMF	Platinum	CuCl2	8.6e-06
2-furoic_acid	Dimethylamine	DMF	Platinum	Pd(OAc)2	1.05e-05
2-furoic_acid	Dimethylamine	DMF	Platinum	Dy(OTf)3	1.99e-05
2-furoic_acid	Dimethylamine	DMF	Platinum	Nothing	1.72e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Ptsoh	2.05e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Formic_acid	2.56e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	CsCO3	2.76e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Triethylamine	2.33e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	NiCl2	2.06e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	CuCl2	2.85e-05
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Pd(OAc)2	2.83e-05
