Bb	CP	Solvent	Electrode	Additives	Prior_score
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	CuCl2	0.106921
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Pd(OAc)2	0.0039064
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Dy(OTf)3	0.0157509
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Nothing	0.5955113
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Ptsoh	0.4739864
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Formic_acid	0.0001795
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	CsCO3	0.4231045
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Triethylamine	0.0001027
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	NiCl2	0.276763
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	CuCl2	0.1318473
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Pd(OAc)2	0.2178136
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Dy(OTf)3	0.270998
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Platinum	Nothing	0.3131959
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Ptsoh	0.6954399
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Formic_acid	0.0102343
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	CsCO3	0.7636587
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Triethylamine	0.007664
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	NiCl2	0.0040791
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	CuCl2	0.1253981
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Pd(OAc)2	0.0109784
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Dy(OTf)3	0.0013544
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Carbon	Nothing	0.5254467
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Ptsoh	0.7822436
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Formic_acid	0.0041906
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	CsCO3	0.6249897
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Triethylamine	0.0020284
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	NiCl2	0.1230755
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	CuCl2	0.0595454
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Pd(OAc)2	0.2781935
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Dy(OTf)3	0.2551923
2-furoic_acid	Tetrachloroisophthalodinitrile	DMF	Platinum	Nothing	0.4663984
2-furoic_acid	Propiolic_acid	ACN	Carbon	Ptsoh	0.6315358
2-furoic_acid	Propiolic_acid	ACN	Carbon	Formic_acid	0.0037681
2-furoic_acid	Propiolic_acid	ACN	Carbon	CsCO3	0.6063581
2-furoic_acid	Propiolic_acid	ACN	Carbon	Triethylamine	0.0043639
2-furoic_acid	Propiolic_acid	ACN	Carbon	NiCl2	0.0207921
2-furoic_acid	Propiolic_acid	ACN	Carbon	CuCl2	0.1679419
2-furoic_acid	Propiolic_acid	ACN	Carbon	Pd(OAc)2	0.0184974
2-furoic_acid	Propiolic_acid	ACN	Carbon	Dy(OTf)3	0.0559682
2-furoic_acid	Propiolic_acid	ACN	Carbon	Nothing	0.4758142
2-furoic_acid	Propiolic_acid	ACN	Platinum	Ptsoh	0.6063298
2-furoic_acid	Propiolic_acid	ACN	Platinum	Formic_acid	7.25e-05
2-furoic_acid	Propiolic_acid	ACN	Platinum	CsCO3	0.4408749
2-furoic_acid	Propiolic_acid	ACN	Platinum	Triethylamine	6.7e-06
2-furoic_acid	Propiolic_acid	ACN	Platinum	NiCl2	0.3255005
2-furoic_acid	Propiolic_acid	ACN	Platinum	CuCl2	0.1021433
2-furoic_acid	Propiolic_acid	ACN	Platinum	Pd(OAc)2	0.3278671
2-furoic_acid	Propiolic_acid	ACN	Platinum	Dy(OTf)3	0.3372969
2-furoic_acid	Propiolic_acid	ACN	Platinum	Nothing	0.2431602
2-furoic_acid	Propiolic_acid	DMF	Carbon	Ptsoh	0.5407242
2-furoic_acid	Propiolic_acid	DMF	Carbon	Formic_acid	0.0137274
2-furoic_acid	Propiolic_acid	DMF	Carbon	CsCO3	0.7414077
2-furoic_acid	Propiolic_acid	DMF	Carbon	Triethylamine	0.0040956
2-furoic_acid	Propiolic_acid	DMF	Carbon	NiCl2	0.005869
2-furoic_acid	Propiolic_acid	DMF	Carbon	CuCl2	0.1057032
2-furoic_acid	Propiolic_acid	DMF	Carbon	Pd(OAc)2	0.0
2-furoic_acid	Propiolic_acid	DMF	Carbon	Dy(OTf)3	0.0037698
2-furoic_acid	Propiolic_acid	DMF	Carbon	Nothing	0.5824322
2-furoic_acid	Propiolic_acid	DMF	Platinum	Ptsoh	0.6983176
2-furoic_acid	Propiolic_acid	DMF	Platinum	Formic_acid	0.0031371
2-furoic_acid	Propiolic_acid	DMF	Platinum	CsCO3	0.5988689
2-furoic_acid	Propiolic_acid	DMF	Platinum	Triethylamine	0.0013064
2-furoic_acid	Propiolic_acid	DMF	Platinum	NiCl2	0.1853731
2-furoic_acid	Propiolic_acid	DMF	Platinum	CuCl2	0.112433
2-furoic_acid	Propiolic_acid	DMF	Platinum	Pd(OAc)2	0.1789133
2-furoic_acid	Propiolic_acid	DMF	Platinum	Dy(OTf)3	0.2755128
2-furoic_acid	Propiolic_acid	DMF	Platinum	Nothing	0.5689939
2-furoic_acid	Carveol	ACN	Carbon	Ptsoh	0.630594
2-furoic_acid	Carveol	ACN	Carbon	Formic_acid	0.0021569
2-furoic_acid	Carveol	ACN	Carbon	CsCO3	0.5999118
2-furoic_acid	Carveol	ACN	Carbon	Triethylamine	0.0016875
2-furoic_acid	Carveol	ACN	Carbon	NiCl2	0.0185979
2-furoic_acid	Carveol	ACN	Carbon	CuCl2	0.0016902
2-furoic_acid	Carveol	ACN	Carbon	Pd(OAc)2	0.0130786
2-furoic_acid	Carveol	ACN	Carbon	Dy(OTf)3	0.0535067
2-furoic_acid	Carveol	ACN	Carbon	Nothing	0.4829791
2-furoic_acid	Carveol	ACN	Platinum	Ptsoh	0.5153214
2-furoic_acid	Carveol	ACN	Platinum	Formic_acid	0.0007868
2-furoic_acid	Carveol	ACN	Platinum	CsCO3	0.4827148
2-furoic_acid	Carveol	ACN	Platinum	Triethylamine	4.14e-05
2-furoic_acid	Carveol	ACN	Platinum	NiCl2	0.3867751
2-furoic_acid	Carveol	ACN	Platinum	CuCl2	0.1154599
2-furoic_acid	Carveol	ACN	Platinum	Pd(OAc)2	0.4177655
2-furoic_acid	Carveol	ACN	Platinum	Dy(OTf)3	0.4212378
2-furoic_acid	Carveol	ACN	Platinum	Nothing	0.2657595
2-furoic_acid	Carveol	DMF	Carbon	Ptsoh	0.6088524
2-furoic_acid	Carveol	DMF	Carbon	Formic_acid	0.0093983
2-furoic_acid	Carveol	DMF	Carbon	CsCO3	0.7211598
2-furoic_acid	Carveol	DMF	Carbon	Triethylamine	0.0110695
2-furoic_acid	Carveol	DMF	Carbon	NiCl2	0.0
2-furoic_acid	Carveol	DMF	Carbon	CuCl2	0.109741
2-furoic_acid	Carveol	DMF	Carbon	Pd(OAc)2	0.0
2-furoic_acid	Carveol	DMF	Carbon	Dy(OTf)3	0.006226
2-furoic_acid	Carveol	DMF	Carbon	Nothing	0.5898107
2-furoic_acid	Carveol	DMF	Platinum	Ptsoh	0.7270848
2-furoic_acid	Carveol	DMF	Platinum	Formic_acid	0.0010359
2-furoic_acid	Carveol	DMF	Platinum	CsCO3	0.6039545
2-furoic_acid	Carveol	DMF	Platinum	Triethylamine	0.001476
2-furoic_acid	Carveol	DMF	Platinum	NiCl2	0.259519
2-furoic_acid	Carveol	DMF	Platinum	CuCl2	0.0712908
2-furoic_acid	Carveol	DMF	Platinum	Pd(OAc)2	0.2910377
2-furoic_acid	Carveol	DMF	Platinum	Dy(OTf)3	0.2645757
2-furoic_acid	Carveol	DMF	Platinum	Nothing	0.5255981
2-furoic_acid	Dimethylamine	ACN	Carbon	Ptsoh	0.8166052
2-furoic_acid	Dimethylamine	ACN	Carbon	Formic_acid	0.0028121
2-furoic_acid	Dimethylamine	ACN	Carbon	CsCO3	0.5403044
2-furoic_acid	Dimethylamine	ACN	Carbon	Triethylamine	0.0020437
2-furoic_acid	Dimethylamine	ACN	Carbon	NiCl2	0.0120903
2-furoic_acid	Dimethylamine	ACN	Carbon	CuCl2	0.0513267
2-furoic_acid	Dimethylamine	ACN	Carbon	Pd(OAc)2	0.0293306
2-furoic_acid	Dimethylamine	ACN	Carbon	Dy(OTf)3	0.0036259
2-furoic_acid	Dimethylamine	ACN	Carbon	Nothing	0.5545182
2-furoic_acid	Dimethylamine	ACN	Platinum	Ptsoh	0.4966342
2-furoic_acid	Dimethylamine	ACN	Platinum	Formic_acid	0.0012163
2-furoic_acid	Dimethylamine	ACN	Platinum	CsCO3	0.3804458
2-furoic_acid	Dimethylamine	ACN	Platinum	Triethylamine	0.00025
2-furoic_acid	Dimethylamine	ACN	Platinum	NiCl2	0.3683444
2-furoic_acid	Dimethylamine	ACN	Platinum	CuCl2	0.1549684
2-furoic_acid	Dimethylamine	ACN	Platinum	Pd(OAc)2	0.235884
2-furoic_acid	Dimethylamine	ACN	Platinum	Dy(OTf)3	0.3202007
2-furoic_acid	Dimethylamine	ACN	Platinum	Nothing	0.3771302
2-furoic_acid	Dimethylamine	DMF	Carbon	Ptsoh	0.6957534
2-furoic_acid	Dimethylamine	DMF	Carbon	Formic_acid	0.0022107
2-furoic_acid	Dimethylamine	DMF	Carbon	CsCO3	0.6199518
2-furoic_acid	Dimethylamine	DMF	Carbon	Triethylamine	0.0195716
2-furoic_acid	Dimethylamine	DMF	Carbon	NiCl2	0.0011651
2-furoic_acid	Dimethylamine	DMF	Carbon	CuCl2	0.0396544
2-furoic_acid	Dimethylamine	DMF	Carbon	Pd(OAc)2	0.0009639
2-furoic_acid	Dimethylamine	DMF	Carbon	Dy(OTf)3	0.0033565
2-furoic_acid	Dimethylamine	DMF	Carbon	Nothing	0.5378297
2-furoic_acid	Dimethylamine	DMF	Platinum	Ptsoh	0.7183935
2-furoic_acid	Dimethylamine	DMF	Platinum	Formic_acid	0.0027031
2-furoic_acid	Dimethylamine	DMF	Platinum	CsCO3	0.5988237
2-furoic_acid	Dimethylamine	DMF	Platinum	Triethylamine	0.0034286
2-furoic_acid	Dimethylamine	DMF	Platinum	NiCl2	0.255278
2-furoic_acid	Dimethylamine	DMF	Platinum	CuCl2	0.1557398
2-furoic_acid	Dimethylamine	DMF	Platinum	Pd(OAc)2	0.1340161
2-furoic_acid	Dimethylamine	DMF	Platinum	Dy(OTf)3	0.3205351
2-furoic_acid	Dimethylamine	DMF	Platinum	Nothing	0.5151401
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Ptsoh	0.7752065
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Formic_acid	0.0053767
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	CsCO3	0.7411668
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Triethylamine	0.0014073
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	NiCl2	0.0493941
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	CuCl2	0.1048406
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Pd(OAc)2	0.0203554
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Dy(OTf)3	0.0422223
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Carbon	Nothing	0.6045994
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	Ptsoh	0.5709159
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	Formic_acid	0.0003167
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	CsCO3	0.4513265
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	Triethylamine	0.0008304
2-furoic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	NiCl2	0.1838217
